altitude,temp,N2,O2,O,He,H,Ar,N
113000,248.3908691,9.067512278e+17,1.655732055e+17,1.714377256e+17,6.366285739e+13,9.140257686e+12,5.589779677e+15,9.087518638e+11
114000,259.0498352,7.658789118e+17,1.361736991e+17,1.545880363e+17,5.994849082e+13,8.208729506e+12,4.528702637e+15,9.981507011e+11
115000,270.4943542,6.496021212e+17,1.124725663e+17,1.395821164e+17,5.650281136e+13,7.378870206e+12,3.686367209e+15,1.095037092e+12
116000,282.6811829,5.534356044e+17,9.332441666e+16,1.262457189e+17,5.331777015e+13,6.641511039e+12,3.015903755e+15,1.200019603e+12
117000,295.6152344,4.736169014e+17,7.779867682e+16,1.143885340e+17,5.037270604e+13,5.986408989e+12,2.480066588e+15,1.313491386e+12
118000,309.2910156,4.071336595e+17,6.516431326e+16,1.038448102e+17,4.763070916e+13,5.404430434e+12,2.050054597e+15,1.435891663e+12
119000,323.6837158,3.515695645e+17,5.484529785e+16,9.446942917e+16,4.505382106e+13,4.887528604e+12,1.703531266e+15,1.567707103e+12
120000,338.7440186,3.049858338e+17,4.638800044e+16,8.613500219e+16,4.264109382e+13,4.428634522e+12,1.423165062e+15,1.709581664e+12
121000,354.3911743,2.658170550e+17,3.943459012e+16,7.873210206e+16,4.039233870e+13,4.020574355e+12,1.195427509e+15,1.862324716e+12
122000,370.506012,2.327961610e+17,3.370188252e+16,7.216404051e+16,3.830801708e+13,3.656307180e+12,1.009738691e+15,2.026950361e+12
123000,386.9230042,2.048905043e+17,2.896060585e+16,6.634622384e+16,3.638875809e+13,3.331989176e+12,8.579073693e+14,2.204821357e+12
124000,403.4234619,1.812624633e+17,2.502792549e+16,6.119953876e+16,3.463582214e+13,3.044187570e+12,7.335204859e+14,2.397340959e+12
125000,419.7303467,1.612263893e+17,2.175728212e+16,5.664316257e+16,3.305084918e+13,2.789774459e+12,6.312336923e+14,2.605734691e+12
126000,435.5899658,1.441949370e+17,1.902708093e+16,5.261635156e+16,3.162955475e+13,2.565411701e+12,5.467278955e+14,2.832081355e+12
127000,450.9710693,1.296155159e+17,1.673111812e+16,4.904030166e+16,3.035121268e+13,2.366774706e+12,4.763447900e+14,3.077253366e+12
128000,465.8882141,1.170430128e+17,1.478579750e+16,4.584665417e+16,2.919567773e+13,2.190050460e+12,4.172512745e+14,3.341870957e+12
129000,480.3556519,1.061304630e+17,1.312627153e+16,4.297988376e+16,2.814619995e+13,2.032120234e+12,3.672737264e+14,3.626568778e+12
130000,494.3868408,9.660026553e+16,1.170165343e+16,4.039458403e+16,2.718922126e+13,1.890397848e+12,3.247199958e+14,3.931942420e+12
131000,507.9952698,8.823136713e+16,1.047169506e+16,3.805313107e+16,2.631314860e+13,1.762735423e+12,2.882668635e+14,4.258581971e+12
132000,521.1937256,8.084469340e+16,9.404153017e+15,3.592465050e+16,2.550825537e+13,1.647334130e+12,2.568627841e+14,4.607078040e+12
133000,533.994751,7.429411236e+16,8.473102892e+15,3.398272399e+16,2.476642560e+13,1.542666191e+12,2.296689470e+14,4.977958322e+12
134000,546.4102783,6.845987603e+16,7.657405387e+15,3.220549015e+16,2.408064641e+13,1.447445791e+12,2.060089117e+14,5.371715387e+12
135000,558.4520874,6.324276207e+16,6.939816747e+15,3.057396307e+16,2.344484235e+13,1.360569827e+12,1.853304057e+14,5.788779151e+12
136000,570.1315308,5.855967147e+16,6.306014329e+15,2.907212467e+16,2.285383765e+13,1.281095500e+12,1.671838334e+14,6.229544403e+12
137000,581.4596558,5.434145953e+16,5.744220795e+15,2.768599270e+16,2.230314441e+13,1.208215536e+12,1.511985187e+14,6.694308413e+12
138000,592.4472046,5.052938400e+16,5.244609798e+15,2.640361425e+16,2.178883256e+13,1.141220311e+12,1.370676317e+14,7.183304491e+12
139000,603.1043091,4.707366620e+16,4.799055260e+15,2.521463630e+16,2.130743971e+13,1.079504601e+12,1.245320399e+14,7.696641688e+12
140000,613.4411621,4.393243020e+16,4.400469410e+15,2.410987193e+16,2.085594176e+13,1.022536319e+12,1.133778001e+14,8.234394452e+12
141000,623.4675293,4.106873928e+16,4.042907477e+15,2.308122512e+16,2.043165645e+13,9.698461614e+11,1.034240204e+14,8.796469461e+12
142000,633.1928711,3.845186724e+16,3.721254960e+15,2.212171654e+16,2.003215109e+13,9.210293780e+11,9.452438684e+13,9.382705234e+12
143000,642.6259766,3.605479016e+16,3.431209376e+15,2.122507984e+16,1.965541032e+13,8.757248655e+11,8.654956370e+13,9.992791917e+12
144000,651.776001,3.385391148e+16,3.169040277e+15,2.038533213e+16,1.929950265e+13,8.336128082e+11,7.938532337e+13,1.062558237e+13
145000,660.6513672,3.182894822e+16,2.931525633e+15,1.959559072e+16,1.896277973e+13,7.944106803e+11,7.293382951e+13,1.127941669e+13
146000,669.2606201,2.996206767e+16,2.715865124e+15,1.885179258e+16,1.864359320e+13,7.578670203e+11,6.711036976e+13,1.195335850e+13
147000,677.6115723,2.823755240e+16,2.519684172e+15,1.815009156e+16,1.834070783e+13,7.237571707e+11,6.184272239e+13,1.264624180e+13
