altitude,temp,N2,O2,O,He,H,Ar,N
928000,1095.000977,2.151746000e+07,7.139472656e+04,9.411050906e+10,7.227935949e+11,4.361281946e+10,5.917515278e+00,6.591301120e+09
929000,1095.000977,2.102895400e+07,6.954614062e+04,9.292769126e+10,7.204276142e+11,4.357706547e+10,5.726881981e+00,6.516038656e+09
930000,1095.000977,2.055161600e+07,6.774592969e+04,9.176066150e+10,7.180680561e+11,4.354134016e+10,5.542390347e+00,6.441672704e+09
931000,1095.000977,2.008522800e+07,6.599256250e+04,9.060900915e+10,7.157189181e+11,4.350572544e+10,5.363924026e+00,6.368154624e+09
932000,1095.000977,1.962957400e+07,6.428556641e+04,8.947251098e+10,7.133774479e+11,4.347014349e+10,5.191243649e+00,6.295512576e+09
933000,1095.000977,1.918433000e+07,6.262248438e+04,8.835098829e+10,7.110436454e+11,4.343450829e+10,5.024141788e+00,6.223698944e+09
934000,1095.000977,1.874947200e+07,6.100335156e+04,8.724407142e+10,7.087201976e+11,4.339897958e+10,4.862493038e+00,6.152762880e+09
935000,1095.000977,1.832436600e+07,5.942653516e+04,8.615171942e+10,7.064029757e+11,4.336348365e+10,4.706081390e+00,6.082612736e+09
936000,1095.000977,1.790913800e+07,5.789070703e+04,8.507389133e+10,7.040947323e+11,4.332801229e+10,4.554734707e+00,6.013307392e+09
937000,1095.000977,1.750338400e+07,5.639498828e+04,8.401009510e+10,7.017953362e+11,4.329257370e+10,4.408289909e+00,5.944792064e+09
938000,1095.000977,1.710698600e+07,5.493834375e+04,8.296028160e+10,6.995034112e+11,4.325716787e+10,4.266618252e+00,5.877091328e+09
939000,1095.000977,1.671963100e+07,5.351973047e+04,8.192424550e+10,6.972189573e+11,4.322178662e+10,4.129515648e+00,5.810171904e+09
940000,1095.000977,1.634110800e+07,5.213814453e+04,8.090169190e+10,6.949434163e+11,4.318652006e+10,3.996849060e+00,5.744026112e+09
941000,1095.000977,1.597130700e+07,5.079241406e+04,7.989270272e+10,6.926752154e+11,4.315119616e+10,3.868474007e+00,5.678666240e+09
942000,1095.000977,1.561002300e+07,4.948198828e+04,7.889696563e+10,6.904170414e+11,4.311598285e+10,3.744293690e+00,5.614060032e+09
943000,1095.000977,1.525691300e+07,4.820555469e+04,7.791412890e+10,6.881635860e+11,4.308079821e+10,3.624099970e+00,5.550210048e+09
944000,1095.000977,1.491190400e+07,4.696240625e+04,7.694421658e+10,6.859201577e+11,4.304564224e+10,3.507804394e+00,5.487096832e+09
945000,1095.000977,1.457483400e+07,4.575183984e+04,7.598713037e+10,6.836839383e+11,4.301051904e+10,3.395266533e+00,5.424722432e+09
946000,1095.000977,1.424544000e+07,4.457264844e+04,7.504246835e+10,6.814564352e+11,4.297542042e+10,3.286376476e+00,5.363077120e+09
947000,1095.000977,1.392362100e+07,4.342417578e+04,7.411018138e+10,6.792361411e+11,4.294043238e+10,3.181003809e+00,5.302131712e+09
948000,1095.000977,1.360904700e+07,4.230546484e+04,7.319010534e+10,6.770244321e+11,4.290539520e+10,3.079020500e+00,5.241909760e+09
949000,1095.000977,1.330178400e+07,4.121603906e+04,7.228194918e+10,6.748198666e+11,4.287038259e+10,2.980364084e+00,5.182391296e+09
950000,1095.000977,1.300150800e+07,4.015497656e+04,7.138578637e+10,6.726224445e+11,4.283548467e+10,2.884868622e+00,5.123557888e+09
951000,1095.000977,1.270805700e+07,3.912137891e+04,7.050124800e+10,6.704347873e+11,4.280060723e+10,2.792475700e+00,5.065412608e+09
952000,1095.000977,1.242134900e+07,3.811467969e+04,6.962838323e+10,6.682542735e+11,4.276576666e+10,2.703062534e+00,5.007946240e+09
953000,1095.000977,1.214115600e+07,3.713430859e+04,6.876682291e+10,6.660795269e+11,4.273095066e+10,2.616532087e+00,4.951131648e+09
