altitude,temp,N2,O2,O,He,H,Ar,N
385000,948.4860229,8.297406530e+12,1.421054116e+11,7.750754131e+13,1.057937359e+12,7.659304550e+10,5.939124480e+08,1.823080710e+12
386000,948.4890137,8.044428657e+12,1.371671020e+11,7.614901058e+13,1.053263004e+12,7.650709504e+10,5.682568960e+08,1.795077833e+12
387000,948.4919434,7.799193469e+12,1.324014223e+11,7.481487745e+13,1.048611324e+12,7.642125926e+10,5.437169280e+08,1.767505134e+12
388000,948.494751,7.561537389e+12,1.278032855e+11,7.350442883e+13,1.043982254e+12,7.633580851e+10,5.202447040e+08,1.740369560e+12
389000,948.4974976,7.331178873e+12,1.233653187e+11,7.221722850e+13,1.039375729e+12,7.625031680e+10,4.977915200e+08,1.713657217e+12
390000,948.5001221,7.107906634e+12,1.190835077e+11,7.095341052e+13,1.034787684e+12,7.616506266e+10,4.763138240e+08,1.687361552e+12
391000,948.5026855,6.891500470e+12,1.149505536e+11,6.971145236e+13,1.030225920e+12,7.607992320e+10,4.557697280e+08,1.661475750e+12
392000,948.505127,6.681734939e+12,1.109627372e+11,6.849204176e+13,1.025684275e+12,7.599502950e+10,4.361160000e+08,1.635996533e+12
393000,948.5075073,6.478441218e+12,1.071147090e+11,6.729424754e+13,1.021162750e+12,7.591023411e+10,4.173169280e+08,1.610917609e+12
394000,948.5098877,6.281368699e+12,1.034010952e+11,6.611765857e+13,1.016663179e+12,7.582553702e+10,3.993335680e+08,1.586229150e+12
395000,948.512085,6.090350658e+12,9.981703782e+10,6.496216570e+13,1.012187398e+12,7.574109389e+10,3.821295680e+08,1.561922241e+12
396000,948.5142822,5.905197826e+12,9.635847373e+10,6.382712296e+13,1.007729508e+12,7.565674906e+10,3.656709760e+08,1.537999634e+12
397000,948.5164185,5.725728276e+12,9.302065152e+10,6.271241698e+13,1.003293114e+12,7.557248614e+10,3.499272640e+08,1.514449273e+12
398000,948.5184326,5.551766897e+12,8.979931136e+10,6.161743532e+13,9.988803133e+11,7.548863283e+10,3.348640000e+08,1.491262505e+12
399000,948.5204468,5.383132283e+12,8.669068493e+10,6.054181719e+13,9.944867799e+11,7.540471398e+10,3.204546560e+08,1.468441952e+12
400000,948.5223389,5.219690217e+12,8.369016013e+10,5.948545340e+13,9.901127762e+11,7.532105728e+10,3.066695040e+08,1.445979095e+12
401000,948.5241699,5.061239898e+12,8.079473050e+10,5.844776511e+13,9.857617756e+11,7.523734323e+10,2.934807360e+08,1.423862661e+12
402000,948.526001,4.907646058e+12,7.800007066e+10,5.742840824e+13,9.814298460e+11,7.515385856e+10,2.808628800e+08,1.402089767e+12
403000,948.527771,4.758759277e+12,7.530307584e+10,5.642727790e+13,9.771190190e+11,7.507063603e+10,2.687916480e+08,1.380660543e+12
404000,948.5294189,4.614424887e+12,7.269991219e+10,5.544384543e+13,9.728271974e+11,7.498749542e+10,2.572412320e+08,1.359561622e+12
405000,948.5310669,4.474519683e+12,7.018766336e+10,5.447798078e+13,9.685580513e+11,7.490445312e+10,2.461918560e+08,1.338792739e+12
406000,948.5326538,4.338889523e+12,6.776276173e+10,5.352895818e+13,9.643056824e+11,7.482151731e+10,2.356189120e+08,1.318346293e+12
